Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season
Harbhajan Singh,Mumbai Indians,13.05,566.27,579.32,579.33,2013,2013,Harbhajan Singh|Mumbai Indians,Harbhajan Singh|Mumbai Indians|2013
I Sharma,Sunrisers Hyderabad,0,-1244.36,-1244.36,-1244.36,2013,2013,I Sharma|Sunrisers Hyderabad,I Sharma|Sunrisers Hyderabad|2013
IK Pathan,Delhi Daredevils,-43.84,243.54,199.7,199.7,2013,2013,IK Pathan|Delhi Daredevils,IK Pathan|Delhi Daredevils|2013
JD Unadkat,Royal Challengers Bangalore,0.8,255.05,255.85,255.85,2013,2013,JD Unadkat|Royal Challengers Bangalore,JD Unadkat|Royal Challengers Bangalore|2013
JH Kallis,Kolkata Knight Riders,-71.56,219.15,147.59,147.59,2013,2013,JH Kallis|Kolkata Knight Riders,JH Kallis|Kolkata Knight Riders|2013
JP Faulkner,Rajasthan Royals,-6.17,439.07,432.9,432.9,2013,2013,JP Faulkner|Rajasthan Royals,JP Faulkner|Rajasthan Royals|2013
KA Pollard,Mumbai Indians,43.09,-2.33,40.76,40.76,2013,2013,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2013
KD Karthik,Mumbai Indians,11.63,0,11.63,11.63,2013,2013,KD Karthik|Mumbai Indians,KD Karthik|Mumbai Indians|2013
KK Cooper,Rajasthan Royals,11.38,133.54,144.92,144.92,2013,2013,KK Cooper|Rajasthan Royals,KK Cooper|Rajasthan Royals|2013
KV Sharma,Sunrisers Hyderabad,83.66,-269.09,-185.43,-185.43,2013,2013,KV Sharma|Sunrisers Hyderabad,KV Sharma|Sunrisers Hyderabad|2013
L Balaji,Kolkata Knight Riders,3,177.05,180.05,180.05,2013,2013,L Balaji|Kolkata Knight Riders,L Balaji|Kolkata Knight Riders|2013
M Vijay,Chennai Super Kings,-34.03,0,-34.03,-34.03,2013,2013,M Vijay|Chennai Super Kings,M Vijay|Chennai Super Kings|2013
MEK Hussey,Chennai Super Kings,61.45,0,61.45,61.45,2013,2013,MEK Hussey|Chennai Super Kings,MEK Hussey|Chennai Super Kings|2013
MG Johnson,Mumbai Indians,4.33,362.4,366.73,366.74,2013,2013,MG Johnson|Mumbai Indians,MG Johnson|Mumbai Indians|2013
MM Sharma,Chennai Super Kings,-3,449.71,446.71,446.71,2013,2013,MM Sharma|Chennai Super Kings,MM Sharma|Chennai Super Kings|2013
MS Bisla,Kolkata Knight Riders,-32.14,0,-32.14,-32.14,2013,2013,MS Bisla|Kolkata Knight Riders,MS Bisla|Kolkata Knight Riders|2013
MS Dhoni,Chennai Super Kings,86.87,0,86.87,86.87,2013,2013,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2013
